symbol,longName
FSSI,Fortistar Sustainable Solutions Corp.
LSXMB,The Liberty SiriusXM Group
AHPI,"Allied Healthcare Products, Inc."
HD,"The Home Depot, Inc."
OTLK,"Outlook Therapeutics, Inc."
MIN,MFS Intermediate Income Trust
NUAN,"Nuance Communications, Inc."
SID,Companhia Siderúrgica Nacional
BRIVW,B. Riley Principal 250 Merger Corp. Warrant
PPBI,"Pacific Premier Bancorp, Inc."
BPOP,"Popular, Inc."
RUBY,"Rubius Therapeutics, Inc."
LMNL,Liminal BioSciences Inc.
PAICU,"Petra Acquisition, Inc."
ORGS,Orgenesis Inc.
AAC,Ares Acquisition Corporation
EXR,Extra Space Storage Inc.
XPDIW,Power & Digital Infrastructure Acquisition Corp.
GRBK,"Green Brick Partners, Inc."
AMRK,"A-Mark Precious Metals, Inc."
AAPL,Apple Inc.
